country,variable,ols_slope_decade,ols_ci_lower,ols_ci_upper,ols_r_squared,ols_p_value,mk_z,mk_p_value,mk_trend,sens_decade,significant
Austria,temperature,0.3142007077571169,0.2463744834415812,0.38202693207265265,0.5386691000314469,6.835328046642222e-14,6.742506835791029,1.556776929589887e-11,increasing,0.3285171190897624,True
Austria,precipitation,3.254862003245022,-7.492401796771986,14.00212580326203,0.004965897974507397,0.5479879070815127,1.042938642171204,0.29697671121925184,no trend,6.439973958333364,False
Belgium,temperature,0.3157208069629047,0.2448031135624864,0.38663850036332303,0.5188651516660779,3.226900105186068e-13,6.504643636699351,7.787770428535623e-11,increasing,0.3354280135210823,True
Belgium,precipitation,1.7181451019343343,-11.591928331508704,15.028218535377373,0.0009058487199243057,0.797695547458959,0.1463773532871865,0.8836235041954956,no trend,1.1201972336065562,False
Bulgaria,temperature,0.21341937242836223,0.1371719002583405,0.28966684459838393,0.29888133308120657,3.888239917362445e-07,4.45536069067874,8.37522660801504e-06,increasing,0.20937601725260419,True
Bulgaria,precipitation,6.345202978811355,-4.381078439463937,17.071484397086646,0.018684936019996913,0.24223827758478045,0.7318867664359325,0.46423768408197486,no trend,3.199299291237093,False
Croatia,temperature,0.2458781235587715,0.17252482175892367,0.3192314253586193,0.3794029141908017,4.053033473361371e-09,5.516596502010842,3.456277375413208e-08,increasing,0.26797718471951154,True
Croatia,precipitation,11.661803102602846,-2.9979221943357404,26.32152839954143,0.03328649112125595,0.11719179924720492,1.4180306099696194,0.1561818282119667,no trend,9.60820895522388,False
Czechia,temperature,0.3023693191886456,0.2272557304146627,0.3774829079626285,0.4685702821927367,1.2759531588253984e-11,6.0929573305791385,1.1084362316893248e-09,increasing,0.31312147776285804,True
Czechia,precipitation,1.5533801237466094,-7.443042868176596,10.549803115669816,0.0016195795860492056,0.731742592354705,0.43913205986155956,0.660565850091003,no trend,2.4363558119044355,False
Denmark,temperature,0.23904757967714224,0.16321306325737975,0.31488209609690476,0.3509281030451025,2.161402851570388e-08,5.242138964597367,1.587257536517228e-07,increasing,0.24901260932286579,True
Denmark,precipitation,13.319214674445526,4.441700570915509,22.196728777975544,0.10911548573628903,0.0037990725280890873,2.5890494362671115,0.009624127672171134,increasing,12.45985435614463,True
Estonia,temperature,0.34790298711524414,0.25842770230312084,0.43737827192736733,0.4513400545052289,4.162234444669412e-11,6.166146007222732,6.997447066225959e-10,increasing,0.3530364377158029,True
Estonia,precipitation,13.67103622462176,5.074802312148598,22.267270137094922,0.12097071499868702,0.002231251875211441,2.973289988645976,0.0029462594941440656,increasing,14.371332768793705,True
Finland,temperature,0.3066345548906375,0.2030648903690628,0.4102042194122122,0.32292633130349,1.0496415272755176e-07,5.168950287953773,2.3541250127045998e-07,increasing,0.3285931795835495,True
Finland,precipitation,15.44248233540129,8.78815771977701,22.096806951025574,0.22662461938945755,1.582860135498028e-05,4.089417307460773,4.32458205466002e-05,increasing,16.472935267857142,True
France,temperature,0.2561019821492571,0.19655044049281648,0.31565352380569783,0.5015717086093553,1.1899884233153422e-12,6.056362992257342,1.392336246297532e-09,increasing,0.2596574080617795,True
France,precipitation,4.173203360223463,-6.5912552662685435,14.937661986715469,0.008111627427407099,0.4422227584359208,0.7684811047577292,0.4422014121462272,no trend,5.264637040944144,False
Germany,temperature,0.297414159978267,0.2256969608668011,0.3691313590897328,0.48340855823128376,4.4721849523366266e-12,6.458900713797105,1.0546630235808152e-10,increasing,0.3118380633267489,True
Germany,precipitation,1.690305934914119,-9.238253048799063,12.618864918627299,0.001299961178618482,0.7587667614440329,0.0,1.0,no trend,-0.06724630376345431,False
Greece,temperature,0.07141202978185711,0.007962261563156789,0.13486179800055745,0.0644801676941932,0.027925875070790963,2.232254637629594,0.02559813813362899,increasing,0.0905515882703993,True
Greece,precipitation,-9.233145720855418,-17.831836849848965,-0.6344545918618738,0.05903360176837948,0.035692664587822644,-2.3511862371754333,0.018713664818504894,decreasing,-10.76526988636374,True
Hungary,temperature,0.22971208526264042,0.15728051477871935,0.3021436557465615,0.353700771460084,1.8419732419830622e-08,4.921938504281647,8.569114329226579e-07,increasing,0.22894761501214445,True
Hungary,precipitation,3.1933544255009503,-6.965995320688379,13.35270417169028,0.005347175366673411,0.5329725527187336,0.23786319909167808,0.8119871992446892,no trend,1.0952920132525024,False
Ireland,temperature,0.15915704946938486,0.11513992664950845,0.20317417228926127,0.4156747219225377,4.310333909847663e-10,6.18444317638363,6.232205862488627e-10,increasing,0.16325083645907262,True
Ireland,precipitation,10.58576816882141,-3.5051804413116594,24.67671677895448,0.029793329254432673,0.13864468807921973,1.5003678711936619,0.1335191372412654,no trend,10.912388392857142,False
Italy,temperature,0.21138771024571026,0.16308948876071977,0.25968593173070076,0.5103530587693464,6.168707650262032e-13,6.303374775929469,2.9123348177506614e-10,increasing,0.22610630307878704,True
Italy,precipitation,4.739415226550459,-7.822143640413302,17.30097409351422,0.007686029263502066,0.4544999109661963,0.3019032911548222,0.7627257867830952,no trend,2.079139855909351,False
Latvia,temperature,0.34332145572895684,0.2557379061916042,0.4309050052663095,0.45536111178194255,3.168856981606147e-11,6.147848838061834,7.854081829350434e-10,increasing,0.34153445561726886,True
Latvia,precipitation,1.338059213431698,-9.935358395847459,12.611476822710854,0.0007659442973052379,0.8136669602991522,0.8508183659817716,0.3948702577578578,no trend,4.872924129587747,False
